Scancode,HID,Javascript,US key,SE key
0x02,0x1e,Digit1,1,1
0x03,0x1f,Digit2,2,2
0x04,0x20,Digit3,3,3
0x05,0x21,Digit4,4,4
0x06,0x22,Digit5,5,5
0x07,0x23,Digit6,6,6
0x08,0x24,Digit7,7,7
0x09,0x25,Digit8,8,8
0x0a,0x26,Digit9,9,9
0x0b,0x27,Digit0,0,0
0x29,0x35,Backquote,´,§
0x0c,0x2d,Minus,-,+
0x0d,0x2e,Equal,=,´
0x0e,0x2a,Backspace,\b,\b
,,,,
0x0f,0x2b,Tab,\t,\t
0x10,0x14,KeyQ,q,q
0x11,0x1a,KeyW,w,w
0x12,0x08,KeyE,e,e
0x13,0x15,KeyR,r,r
0x14,0x17,KeyT,t,t
0x15,0x1c,KeyY,y,y
0x16,0x18,KeyU,u,u
0x17,0x0c,KeyI,i,i
0x18,0x12,KeyO,o,o
0x19,0x13,KeyP,p,p
0x1a,0x2f,BracketLeft,[,å
0x1b,0x30,BracketRight,],¨
0x1c,0x28,Enter,\n,\n
,,,,
0x3a,0x39,CapsLock,CAPSLOCK,CAPSLOCK
0x1e,0x04,KeyA,a,a
0x1f,0x16,KeyS,s,s
0x20,0x07,KeyD,d,d
0x21,0x09,KeyF,f,f
0x22,0x0a,KeyG,g,g
0x23,0x0b,KeyH,h,h
0x24,0x0d,KeyJ,j,j
0x25,0x0e,KeyK,k,k
0x26,0x0f,KeyL,l,l
0x27,0x33,Semicolon,;,ö
0x28,0x34,Quote,',ä
0x2b,0x31,Backslash,\,'
,,,,
0x56,0x64,IntlBackslash,\,<
0x2c,0x1d,KeyZ,z,z
0x2d,0x1b,KeyX,x,x
0x2e,0x06,KeyC,c,c
0x2f,0x19,KeyV,v,v
0x30,0x05,KeyB,b,b
0x31,0x11,KeyN,n,n
0x32,0x10,KeyM,m,m
0x33,0x36,Comma,",",","
0x34,0x37,Period,.,.
0x35,0x38,Slash,/,-
0x39,0x2c,Space, , 
,,,,
0xe0 0x5b,0xe3,MetaLeft,WINL,WINL
0xe0 0x39,0x2c,MetaRight,WINR,WINR
0xe0 0x38,0x76,ContextMenu,MENU,MENU
,,,,
0x01,0x29,Escape,ESC,ESC
0x3b,0x3a,F1,F1,F1
0x3c,0x3b,F2,F2,F2
0c3d,0x3c,F3,F3,F3
0x3e,0x3d,F4,F4,F4
0x3f,0x3e,F5,F5,F5
0x40,0x3f,F6,F6,F6
0x41,0x40,F7,F7,F7
0x42,0x41,F8,F8,F8
0x43,0x42,F9,F9,F9
0x44,0x43,F10,F10,F10
0x45,0x44,F11,F11,F11
0x46,0x45,F12,F12,F12
,,,,
0x54,0x46,PrintScreen,PrScr,PrScr
,,,,
0xe0 0x52,0x49,Insert,INS,INS
0xe0 0x53,0x4c,Delete,DEL,DEL
0xe0 0x47,0x4a,Home,HOME,HOME
0xe0 0x4f,0x4d,End,END,END
0xe0 0x49,0x4b,PageUp,PGUP,PGUP
0xe0 0x51,0x4e,PageDown,PGDN,PGDN
,,,,
0xe0 0x4b,0x50,ArrowLeft,LEFT,LEFT
0xe0 0x4d,0x4f,ArrowRight,RIGHT,RIGHT
0xe0 0x48,0x52,ArrowUp,UP,UP
0xe0 0x50,0x51,ArrowDown,DOWN,DOWN
,,,,
0xe0 0x35,0x54,NumpadDivide,NUMDIV,NUMDIV
0x37,0x55,NumpadMultiply,NUMMUL,NUMMUL
0x4a,0x56,NumpadSubtract,NUMMINUS,NUMMINUS
0x4e,0x57,NumpadAdd,NUMPLUS,NUMPLUS
0xe0 0x1c,0x58,NumpadEnter,NUMENTER,NUMENTER
0x53,0x63,NumpadDecimal,NUMDEC,NUMDEC
0x52,0x62,Numpad0,NUM0,NUM0
0x4f,0x59,Numpad1,NUM1,NUM1
0x50,0x5a,Numpad2,NUM2,NUM2
0x51,0x5b,Numpad3,NUM3,NUM3
0x4b,0x5c,Numpad4,NUM4,NUM4
0x4c,0x5d,Numpad5,NUM5,NUM5
0x4d,0x5e,Numpad6,NUM6,NUM6
0x47,0x5f,Numpad7,NUM7,NUM7
0x48,0x60,Numpad8,NUM8,NUM8
0x49,0x61,Numpad9,NUM9,
